x	y
0	0.314433282
0.033	0.269148969
0.066	0.240120653
0.1	0.215171172
0.133	0.186076533
0.166	0.150206352
0.2	0.108615679
0.233	0.063544296
0.266	0.017004045
0.3	-0.0295294
0.333	-0.074932046
0.366	-0.118253387
0.4	-0.158650429
0.433	-0.19537844
0.466	-0.227738764
0.5	-0.255013548
0.533	-0.276489475
0.566	-0.291608739
0.599	-0.300041821
0.633	-0.301575267
0.666	-0.29592424
0.699	-0.2828046
0.733	-0.262242352
0.766	-0.234761271
0.799	-0.201229656
0.833	-0.162626813
0.866	-0.119967999
0.899	-0.074399546
0.933	-0.027275656
0.966	0.019979831
0.999	0.066135936
1.033	0.110227142
1.066	0.151364028
1.099	0.188593298
1.133	0.221000571
1.166	0.247775667
1.199	0.26817333
1.233	0.281612365
1.266	0.287851918
1.299	0.286951328
1.332	0.279142725
1.366	0.264796118
1.399	0.244436852
1.432	0.218747351
1.466	0.188493814
1.499	0.154369485
1.532	0.116961844
1.566	0.076835328
1.599	0.034637804
1.632	-0.008798728
1.666	-0.052422884
1.699	-0.09506407
1.732	-0.135552567
1.766	-0.172791785
1.799	-0.205789154
1.832	-0.233670265
1.866	-0.255694052
1.899	-0.271242841
1.932	-0.279831781
1.966	-0.281179698
1.999	-0.275258669
2.032	-0.262248286
2.065	-0.242480687
2.099	-0.216466031
2.132	-0.184937356
2.165	-0.148813579
2.199	-0.109142769
2.232	-0.067068989
2.265	-0.023731591
2.299	0.019904957
2.332	0.063103077
2.365	0.105194834
2.399	0.145354685
2.432	0.182516061
2.465	0.215591796
2.499	0.243796317
2.532	0.266571118
2.565	0.283235522
2.599	0.29297795
2.632	0.295239896
2.665	0.289963766
2.699	0.277512587
2.732	0.258507697
2.765	0.2336385
2.799	0.203526335
2.832	0.168746286
2.865	0.130061587
2.898	0.08846306
2.932	0.044982022
2.965	0.00064647
2.998	-0.043444387
3.032	-0.086162891
3.065	-0.126431476
3.098	-0.163305571
3.132	-0.196036429
3.165	-0.223965711
3.198	-0.24636387
3.232	-0.26249368
