x	y
0	-0.34906585
0.017	-0.34906585
0.033	-0.34906585
0.05	-0.34906585
0.067	-0.345575192
0.084	-0.335103216
0.1	-0.32637657
0.117	-0.333357887
0.134	-0.305432619
0.151	-0.312413936
0.167	-0.301941961
0.184	-0.294960644
0.201	-0.270526034
0.218	-0.268780705
0.234	-0.251327412
0.251	-0.247836754
0.268	-0.214675498
0.285	-0.205948852
0.301	-0.195476876
0.318	-0.174532925
0.335	-0.151843645
0.352	-0.123918377
0.368	-0.11693706
0.385	-0.082030475
0.402	-0.055850536
0.419	-0.038397244
0.435	-0.038397244
0.452	-0.02268928
0.469	-0.017453293
0.486	0.038397244
0.502	0.041887902
0.519	0.045378561
0.536	0.066322512
0.553	0.076794487
0.569	0.097738438
0.586	0.132645023
0.603	0.144862328
0.62	0.20943951
0.636	0.232128791
0.653	0.242600766
0.67	0.2565634
0.687	0.274016693
0.703	0.300196631
0.72	0.308923278
0.737	0.317649924
0.754	0.333357887
0.77	0.342084533
0.787	0.34906585
0.804	0.356047167
0.821	0.363028484
0.837	0.363028484
0.854	0.366519143
0.871	0.371755131
0.888	0.371755131
0.905	0.370009801
0.921	0.368264472
0.938	0.363028484
0.955	0.357792497
0.972	0.352556509
0.988	0.343829863
1.005	0.336848546
1.022	0.321140582
1.039	0.308923278
1.055	0.300196631
1.072	0.251327412
1.089	0.272271363
1.106	0.2565634
1.122	0.244346095
1.139	0.198967535
1.156	0.167551608
1.173	0.151843645
1.189	0.136135682
1.206	0.109955743
1.223	0.089011792
1.24	0.068067841
1.256	0.04712389
1.273	0.026179939
1.29	0.012217305
1.307	-0.015707963
1.323	-0.038397244
1.34	-0.050614548
1.357	-0.071558499
1.374	-0.089011792
1.39	-0.125663706
1.407	-0.148352986
1.424	-0.130899694
1.441	-0.174532925
1.457	-0.195476876
1.474	-0.191986218
1.491	-0.207694181
1.508	-0.235619449
1.524	-0.254818071
1.541	-0.272271363
1.558	-0.265290046
1.575	-0.277507351
1.591	-0.30368729
1.608	-0.308923278
1.625	-0.308923278
1.642	-0.322885912
1.658	-0.345575192
1.675	-0.356047167
1.692	-0.359537826
1.709	-0.345575192
1.725	-0.345575192
1.742	-0.328121899
1.759	-0.345575192
1.776	-0.343829863
1.792	-0.317649924
1.809	-0.308923278
1.826	-0.310668607
1.843	-0.307177948
1.859	-0.315904595
1.876	-0.287979327
1.893	-0.27925268
1.91	-0.2565634
1.927	-0.265290046
1.943	-0.254818071
1.96	-0.228638132
1.977	-0.190240888
1.994	-0.169296937
2.01	-0.174532925
2.027	-0.171042267
2.044	-0.167551608
2.061	-0.134390352
2.077	-0.108210414
2.094	-0.090757121
2.111	-0.06981317
2.128	-0.013962634
2.144	-0.026179939
2.161	-0.008726646
2.178	-0.008726646
2.195	0.061086524
2.211	0.087266463
2.228	0.102974426
2.245	0.09250245
2.262	0.104719755
2.278	0.129154365
2.295	0.148352986
2.312	0.169296937
2.329	0.188495559
2.345	0.204203522
2.362	0.218166156
2.379	0.232128791
2.396	0.246091425
2.412	0.258308729
2.429	0.268780705
2.446	0.27925268
2.463	0.287979327
2.479	0.296705973
2.496	0.30368729
2.513	0.307177948
2.53	0.312413936
2.546	0.315904595
2.563	0.315904595
2.58	0.317649924
2.597	0.317649924
2.613	0.315904595
2.63	0.312413936
2.647	0.307177948
2.664	0.300196631
2.68	0.293215314
2.697	0.284488668
2.714	0.274016693
2.731	0.265290046
2.747	0.251327412
2.764	0.242600766
2.781	0.226892803
2.798	0.211184839
2.814	0.195476876
2.831	0.181514242
2.848	0.158824962
2.865	0.143116999
2.881	0.123918377
2.898	0.104719755
2.915	0.085521133
2.932	0.066322512
2.948	0.043633231
2.965	0.02268928
2.982	0.006981317
2.999	-0.015707963
3.016	-0.040142573
3.032	-0.062831853
3.049	-0.083775804
3.066	-0.104719755
3.083	-0.125663706
3.099	-0.146607657
3.116	-0.167551608
3.133	-0.183259571
3.15	-0.204203522
3.166	-0.221656815
3.183	-0.237364778
3.2	-0.2565634
3.217	-0.267035376
3.233	-0.284488668
3.25	-0.286233997
3.267	-0.310668607
3.284	-0.322885912
3.3	-0.315904595
3.317	-0.329867229
3.334	-0.335103216
3.351	-0.335103216
3.367	-0.345575192
3.384	-0.35081118
3.401	-0.35081118
3.418	-0.35081118
3.434	-0.35081118
3.451	-0.35081118
3.468	-0.310668607
3.485	-0.335103216
3.501	-0.336848546
3.518	-0.333357887
3.535	-0.321140582
3.552	-0.312413936
3.568	-0.300196631
3.585	-0.274016693
3.602	-0.272271363
3.619	-0.265290046
3.635	-0.2565634
3.652	-0.242600766
3.669	-0.228638132
3.686	-0.211184839
3.702	-0.193731547
3.719	-0.176278254
3.736	-0.155334303
3.753	-0.136135682
3.769	-0.109955743
3.786	-0.09250245
3.803	-0.076794487
3.82	-0.052359878
3.836	-0.031415927
3.853	-0.012217305
3.87	0.008726646
3.887	0.027925268
3.903	0.048869219
3.92	0.068067841
3.937	0.089011792
3.954	0.109955743
3.97	0.127409035
3.987	0.144862328
4.004	0.16231562
4.021	0.178023584
4.037	0.193731547
4.054	0.195476876
4.071	0.223402144
4.088	0.237364778
4.105	0.249582083
4.121	0.260054059
4.138	0.270526034
4.155	0.28099801
4.172	0.289724656
4.188	0.294960644
4.205	0.300196631
4.222	0.305432619
4.239	0.308923278
4.255	0.310668607
4.272	0.310668607
4.289	0.310668607
4.306	0.308923278
4.322	0.305432619
4.339	0.300196631
4.356	0.293215314
4.373	0.286233997
4.389	0.277507351
4.406	0.270526034
4.423	0.260054059
4.44	0.247836754
4.456	0.237364778
4.473	0.221656815
4.49	0.207694181
4.507	0.191986218
4.523	0.174532925
4.54	0.158824962
4.557	0.141371669
4.574	0.122173048
4.59	0.102974426
4.607	0.083775804
4.624	0.062831853
4.641	0.043633231
4.657	0.020943951
4.674	0.003490659
4.691	-0.019198622
