x y dx dy
-1.48352984 1.716666667 0.00087 0.008
-1.308996939 1.726666667 0.00087 0.008
-1.134464014 1.653333333 0.00087 0.008
-0.87264626 1.613333333 0.00087 0.008
-0.698131701 1.583333333 0.00087 0.008
-0.523598776 1.57 0.00087 0.008
-0.34906585 1.566666667 0.00087 0.008
-0.174532925 1.543333333 0.00087 0.008
0.174532925 1.533333333 0.00087 0.008
0.38397435 1.566666667 0.00087 0.008
0.523598776 1.56 0.00087 0.008
0.698131701 1.583333333 0.00087 0.008
0.87264626 1.603333333 0.00087 0.008
0.959931089 1.61 0.00087 0.008
1.134464014 1.633333333 0.00087 0.008
1.308996939 1.663333333 0.00087 0.008
